x,y,Hx,Hy,Hz,Ex,Ey,Ez
0,110,-3.07792e-18,1.58718e-19,-2.24239e-21,-1.87973e-19,-3.70439e-18,4.37669e-24
0,111,-6.81505e-18,-2.13653e-18,-1.98547e-20,2.58042e-18,-8.21956e-18,-1.03988e-25
0,112,-9.65794e-19,3.98851e-18,1.18353e-20,-4.8166e-18,-1.15652e-18,-4.06831e-25
0,113,-4.49744e-18,1.31307e-18,7.16502e-21,-1.57848e-18,-5.41674e-18,3.73785e-24
0,114,1.21636e-18,-1.74594e-18,-3.18606e-21,2.10675e-18,1.4688e-18,-2.38413e-24
0,115,-2.12557e-18,2.23872e-18,-8.04817e-21,-2.6927e-18,-2.56449e-18,2.02457e-24
0,116,9.31301e-19,1.43194e-18,1.00845e-20,-1.73246e-18,1.13018e-18,-1.53918e-24
0,117,-1.17223e-19,-4.36543e-18,-6.58759e-21,5.26318e-18,-1.44193e-19,-3.76531e-24
0,118,4.86007e-18,2.10946e-19,1.36588e-20,-2.63609e-19,5.85953e-18,-5.11002e-24
0,119,2.44049e-18,-4.91094e-18,-8.4988e-21,5.9225e-18,2.93156e-18,-2.66194e-24
0,120,-1.12835e-18,3.47352e-18,-9.30743e-21,-4.18112e-18,-1.36053e-18,5.93003e-24
0,121,3.47062e-18,4.21266e-18,1.30796e-20,-5.082e-18,4.18108e-18,-1.52761e-24
0,122,3.40509e-18,4.35665e-19,7.25869e-21,-5.21686e-19,4.107e-18,4.95249e-24
0,123,1.18869e-18,-3.05296e-18,-7.1942e-21,3.68213e-18,1.42653e-18,-1.4558e-24
0,124,-3.0071e-18,5.02209e-19,-4.98782e-22,-6.07769e-19,-3.62859e-18,2.6508e-24
0,125,-6.20723e-19,-2.37483e-19,-1.06773e-20,2.90748e-19,-7.52873e-19,1.69636e-24
0,126,5.11508e-18,2.0746e-18,1.07744e-20,-2.50769e-18,6.16821e-18,-1.74485e-24
0,127,-4.55969e-18,-1.54398e-18,-1.63224e-20,1.87162e-18,-5.49847e-18,5.5486e-24
0,128,2.76597e-18,2.393e-18,9.59344e-21,-2.89313e-18,3.34186e-18,-1.67587e-24
0,129,-1.15891e-18,-2.92244e-18,-1.41992e-21,3.52336e-18,-1.4003e-18,-1.40638e-24
0,130,3.92327e-19,5.82659e-19,2.67569e-21,-7.03376e-19,4.75281e-19,2.13875e-24
0,131,4.84218e-18,-1.84357e-18,1.01009e-20,2.21579e-18,5.83913e-18,-2.66602e-24
0,132,-8.24956e-18,-8.14627e-19,-2.11405e-20,9.95586e-19,-9.9524e-18,7.57644e-24
0,133,4.25326e-18,1.02614e-18,1.59895e-20,-1.25303e-18,5.13406e-18,-6.23605e-24
0,134,-6.25327e-18,-2.39441e-18,-2.98571e-20,2.90434e-18,-7.55342e-18,5.19125e-24
0,135,6.05059e-18,4.65921e-18,3.59903e-20,-5.64031e-18,7.30832e-18,-3.03627e-24
0,136,-1.39918e-18,-5.86764e-18,-1.54671e-20,7.08818e-18,-1.69344e-18,3.00304e-24
0,137,-5.76698e-18,-1.34147e-18,-5.13711e-21,1.60997e-18,-6.94275e-18,1.79114e-24
0,138,-4.94769e-18,8.83611e-19,-3.17992e-21,-1.06465e-18,-5.96908e-18,-2.67698e-24
0,139,9.23377e-19,2.83648e-19,6.30529e-21,-3.45991e-19,1.11615e-18,-2.04218e-24
0,140,-2.41745e-18,4.65198e-20,-1.57769e-21,-5.22379e-20,-2.91363e-18,-1.58958e-24
0,141,6.28248e-18,2.48238e-18,2.28025e-20,-2.99999e-18,7.57458e-18,-5.36219e-24
0,142,7.73889e-19,-5.83818e-18,-2.33312e-20,7.05018e-18,9.17663e-19,-5.78882e-25
0,143,-1.96407e-18,5.98653e-18,2.0087e-20,-7.22747e-18,-2.35598e-18,7.10622e-24
0,144,-9.67528e-19,-3.54696e-18,-1.47936e-20,4.28658e-18,-1.18202e-18,-2.61387e-24
0,145,1.84325e-18,4.20812e-18,1.49292e-20,-5.08003e-18,2.23626e-18,6.60176e-24
0,146,-2.36436e-18,1.87815e-18,-6.58887e-21,-2.25069e-18,-2.85268e-18,3.72076e-24
0,147,-2.39e-18,1.7072e-18,-8.06968e-21,-2.05446e-18,-2.8802e-18,7.816e-25
0,148,-5.77254e-18,3.95503e-18,-1.05255e-20,-4.75999e-18,-6.95637e-18,2.16469e-24
0,149,2.74464e-18,4.11966e-18,6.70952e-22,-4.9647e-18,3.3086e-18,-4.61321e-24
0,150,-4.50436e-18,3.32144e-18,-6.10864e-21,-3.9952e-18,-5.42816e-18,4.5561e-24
0,151,1.45527e-18,-1.75431e-18,7.52232e-21,2.10537e-18,1.75896e-18,-4.78393e-24
0,152,-9.10304e-19,1.17469e-18,-3.8928e-21,-1.40867e-18,-1.0973e-18,5.78305e-24
0,153,2.98125e-18,-1.71423e-19,1.98391e-20,1.95032e-19,3.60373e-18,-2.97531e-24
0,154,-6.93616e-18,-3.29061e-18,-7.05934e-21,3.97416e-18,-8.35471e-18,7.19654e-24
0,155,5.41006e-18,-3.01526e-18,2.37996e-21,3.62534e-18,6.52784e-18,-9.51388e-24
0,156,-1.4838e-18,8.82768e-19,-4.79045e-21,-1.05928e-18,-1.79366e-18,1.57937e-24
0,157,3.10216e-18,8.21247e-19,-5.66529e-22,-9.90656e-19,3.74165e-18,-2.54988e-24
0,158,1.71109e-19,3.20835e-18,-5.66837e-22,-3.86229e-18,2.07004e-19,1.10038e-24
0,159,3.63267e-18,3.60408e-18,1.11006e-20,-4.34425e-18,4.37737e-18,-4.22638e-24
1,0,-1.15295e-19,-1.6549e-18,-4.40792e-21,1.99431e-18,-1.39199e-19,2.83461e-25
1,1,2.87711e-19,-1.29411e-18,-1.36091e-21,1.55642e-18,3.44557e-19,-1.96659e-24
1,2,6.4047e-18,-2.4248e-18,2.10226e-20,2.90835e-18,7.72156e-18,-5.236e-24
1,3,4.10147e-19,-6.98493e-18,-1.80601e-20,8.4273e-18,4.87834e-19,2.40699e-24
1,4,5.89928e-18,1.32041e-18,1.86609e-20,-1.60707e-18,7.11807e-18,-8.69826e-25
1,5,-1.47703e-18,-2.00238e-18,-1.05332e-20,2.42445e-18,-1.78755e-18,1.64068e-24
1,6,1.61372e-18,-2.848e-19,1.69258e-21,3.37012e-19,1.95178e-18,-1.93298e-24
1,7,-3.44403e-18,2.22687e-18,-1.68502e-20,-2.67191e-18,-4.15262e-18,4.11522e-24
1,8,2.14395e-18,5.81486e-18,6.3478e-21,-7.01115e-18,2.59038e-18,-1.89829e-24
1,9,1.29364e-18,6.17583e-18,1.58165e-20,-7.43915e-18,1.56243e-18,1.24409e-24
1,10,-1.78094e-18,2.42969e-19,-8.68206e-21,-2.80796e-19,-2.15176e-18,2.62404e-24
1,11,1.23646e-18,2.20793e-18,1.46092e-20,-2.66908e-18,1.49798e-18,2.4318e-24
1,12,-9.33614e-19,-3.46998e-18,-1.04222e-20,4.18921e-18,-1.13541e-18,4.65133e-25
1,13,4.68997e-20,-3.47901e-18,-4.56139e-21,4.18533e-18,5.8132e-20,-1.48277e-24
1,14,-3.29826e-18,-4.43108e-18,-1.77182e-21,5.33291e-18,-3.97915e-18,-6.39517e-25
